pid,arrival,start,completion,burst,turnaround,waiting,response
11,0,1,3,2,3,1,1
3,0,3,6,3,6,3,3
7,0,6,10,4,10,6,6
21,0,10,14,4,14,10,10
1,0,14,19,5,19,14,14
0,0,19,27,8,27,19,19
16,0,27,35,8,35,27,27
22,0,35,45,10,45,35,35
24,0,45,57,12,57,45,45
18,0,57,70,13,70,57,57
15,0,70,84,14,84,70,70
12,0,84,102,18,102,84,84
9,0,117,159,6,159,153,117
14,0,126,167,5,167,162,126
17,0,129,170,6,170,164,129
5,0,108,186,7,186,179,108
10,0,120,195,9,195,186,120
19,0,132,199,7,199,192,132
23,0,138,205,9,205,196,138
2,0,102,208,12,208,196,102
6,0,111,212,10,212,202,111
13,0,123,217,11,217,206,123
4,0,105,223,15,223,208,105
20,0,135,233,16,233,217,135
8,0,114,235,20,235,215,114
