pid,arrival,start,completion,burst,turnaround,waiting,response
0,0,1,9,8,9,1,1
3,0,9,12,3,12,9,9
7,0,12,16,4,16,12,12
21,0,16,20,4,20,16,16
11,0,20,22,2,22,20,20
1,0,22,27,5,27,22,22
16,0,27,35,8,35,27,27
22,0,35,45,10,45,35,35
15,0,45,59,14,59,45,45
18,0,59,72,13,72,59,59
12,0,72,90,18,90,72,72
24,0,90,102,12,102,90,90
23,0,102,111,9,111,102,102
17,0,111,117,6,117,111,111
9,0,117,123,6,123,117,117
5,0,123,130,7,130,123,123
14,0,130,135,5,135,130,130
10,0,135,144,9,144,135,135
13,0,144,155,11,155,144,144
2,0,155,167,12,167,155,155
19,0,167,174,7,174,167,167
6,0,174,184,10,184,174,174
4,0,184,199,15,199,184,184
8,0,199,219,20,219,199,199
20,0,219,235,16,235,219,219
