pid,arrival,start,completion,burst,turnaround,waiting,response
0,0,1,9,8,9,1,1
1,0,9,14,5,14,9,9
3,0,24,27,3,27,24,24
5,0,37,44,7,44,37,37
6,0,44,54,10,54,44,44
7,0,54,58,4,58,54,54
9,0,68,74,6,74,68,68
10,0,74,83,9,83,74,74
11,0,83,85,2,85,83,83
14,0,105,110,5,110,105,105
16,0,120,128,8,128,120,120
17,0,128,134,6,134,128,128
19,0,144,151,7,151,144,144
21,0,161,165,4,165,161,161
22,0,165,175,10,175,165,165
23,0,175,184,9,184,175,175
2,0,14,196,12,196,184,14
4,0,27,201,15,201,186,27
8,0,58,211,20,211,191,58
12,0,85,219,18,219,201,85
13,0,95,220,11,220,209,95
15,0,110,224,14,224,210,110
18,0,134,227,13,227,214,134
20,0,151,233,16,233,217,151
24,0,184,235,12,235,223,184
