pid,arrival,start,completion,burst,turnaround,waiting,response
11,0,1,3,2,3,1,1
3,0,3,6,3,6,3,3
7,0,6,10,4,10,6,6
21,0,10,14,4,14,10,10
1,0,14,19,5,19,14,14
14,0,19,24,5,24,19,19
17,0,24,30,6,30,24,24
9,0,30,36,6,36,30,30
19,0,36,43,7,43,36,36
5,0,43,50,7,50,43,43
0,0,50,58,8,58,50,50
16,0,58,66,8,66,58,58
10,0,66,75,9,75,66,66
23,0,75,84,9,84,75,75
22,0,84,94,10,94,84,84
6,0,94,104,10,104,94,94
13,0,104,115,11,115,104,104
2,0,115,127,12,127,115,115
24,0,127,139,12,139,127,127
18,0,139,152,13,152,139,139
15,0,152,166,14,166,152,152
4,0,166,181,15,181,166,166
20,0,181,197,16,197,181,181
12,0,197,215,18,215,197,197
8,0,215,235,20,235,215,215
