pid,arrival,start,completion,burst,turnaround,waiting,response
26,49,188,189,1,140,139,139
28,52,192,193,1,141,140,140
49,95,193,194,1,99,98,98
94,188,194,197,3,9,6,6
27,50,197,200,3,150,147,147
40,80,200,203,3,123,120,120
66,132,203,206,3,74,71,71
20,34,206,210,4,176,172,172
44,88,210,215,5,127,122,122
92,188,215,221,6,33,27,27
36,68,221,228,7,160,153,153
90,178,228,236,8,58,50,50
4,3,236,245,9,242,233,233
93,188,245,254,9,66,57,57
0,0,254,263,9,263,254,254
72,141,263,273,10,132,122,122
21,37,273,283,10,246,236,236
9,13,283,294,11,281,270,270
53,100,294,306,12,206,194,194
50,96,306,319,13,223,210,210
58,111,319,332,13,221,208,208
61,111,332,345,13,234,221,221
37,70,345,358,13,288,275,275
68,134,358,373,15,239,224,224
74,145,373,388,15,243,228,228
81,163,388,403,15,240,225,225
69,134,403,418,15,284,269,269
52,100,418,434,16,334,318,318
83,167,434,450,16,283,267,267
46,93,450,467,17,374,357,357
33,64,467,484,17,420,403,403
39,76,484,502,18,426,408,408
47,95,502,520,18,425,407,407
13,25,520,539,19,514,495,495
85,170,539,559,20,389,369,369
41,83,559,579,20,496,476,476
7,10,579,599,20,589,569,569
10,17,599,605,6,588,582,582
38,74,605,621,16,547,531,531
70,135,621,622,1,487,486,486
77,151,622,639,17,488,471,471
55,103,639,651,12,548,536,536
25,40,651,662,11,622,611,611
34,67,662,665,3,598,595,595
30,58,665,666,1,608,607,607
78,155,666,678,12,523,511,511
96,188,678,686,8,498,490,490
22,40,686,696,10,656,646,646
59,111,696,699,3,588,585,585
60,111,699,703,4,592,588,588
73,143,703,705,2,562,560,560
3,3,705,711,6,708,702,702
31,58,711,726,15,668,653,653
2,2,726,731,5,729,724,724
84,170,731,734,3,564,561,561
76,148,734,747,13,599,586,586
32,60,747,763,16,703,687,687
16,25,763,767,4,742,738,738
17,31,767,775,8,744,736,736
71,139,775,780,5,641,636,636
97,191,780,792,12,601,589,589
57,109,792,808,16,699,683,683
63,125,808,810,2,685,683,683
23,40,810,825,15,785,770,770
8,10,825,831,6,821,815,815
80,163,831,845,14,682,668,668
86,170,845,864,19,694,675,675
64,128,864,872,8,744,736,736
42,84,872,889,17,805,788,788
14,25,889,907,18,882,864,864
91,179,907,915,8,736,728,728
95,188,915,921,6,733,727,727
75,146,921,930,9,784,775,775
89,176,930,946,16,770,754,754
65,129,946,966,20,837,817,817
18,32,966,974,8,942,934,934
48,95,974,991,17,896,879,879
29,54,991,992,1,938,937,937
45,92,992,1005,13,913,900,900
56,106,1005,1012,7,906,899,899
24,40,1012,1031,19,991,972,972
5,3,1031,1041,10,1038,1028,1028
15,25,1041,1042,1,1017,1016,1016
79,159,1042,1049,7,890,883,883
43,86,1049,1053,4,967,963,963
6,3,1053,1061,8,1058,1050,1050
11,19,1061,1070,9,1051,1042,1042
12,21,1070,1089,19,1068,1049,1049
99,191,1089,1093,4,902,898,898
62,111,1093,1105,12,994,982,982
1,2,1105,1115,10,1113,1103,1103
35,68,1115,1120,5,1052,1047,1047
88,173,1120,1132,12,959,947,947
67,132,1132,1145,13,1013,1000,1000
98,191,1145,1164,19,973,954,954
19,32,1164,1184,20,1152,1132,1132
82,167,1184,1200,16,1033,1017,1017
54,101,1200,1207,7,1106,1099,1099
87,170,1207,1225,18,1055,1037,1037
51,98,1225,1239,14,1141,1127,1127
