pid,arrival,start,completion,burst,turnaround,waiting,response
69,134,191,206,15,72,57,57
37,70,206,219,13,149,136,136
44,88,219,224,5,136,131,131
61,111,224,237,13,126,113,113
72,141,237,247,10,106,96,96
26,49,247,248,1,199,198,198
90,178,248,256,8,78,70,70
58,111,256,269,13,158,145,145
7,10,269,289,20,279,259,259
85,170,289,309,20,139,119,119
4,3,309,318,9,315,306,306
41,83,318,338,20,255,235,235
13,25,338,357,19,332,313,313
20,34,357,361,4,327,323,323
93,188,361,370,9,182,173,173
94,188,370,373,3,185,182,182
40,80,373,376,3,296,293,293
33,64,376,393,17,329,312,312
36,68,393,400,7,332,325,325
53,100,400,412,12,312,300,300
47,95,412,430,18,335,317,317
28,52,430,431,1,379,378,378
81,163,431,446,15,283,268,268
74,145,446,461,15,316,301,301
9,13,461,472,11,459,448,448
52,100,472,488,16,388,372,372
66,132,488,491,3,359,356,356
68,134,491,506,15,372,357,357
21,37,506,516,10,479,469,469
92,188,516,522,6,334,328,328
0,0,522,531,9,531,522,522
83,167,531,547,16,380,364,364
27,50,547,550,3,500,497,497
46,93,550,567,17,474,457,457
49,95,567,568,1,473,472,472
39,76,568,586,18,510,492,492
50,96,586,599,13,503,490,490
10,17,599,605,6,588,582,582
38,74,605,621,16,547,531,531
70,135,621,622,1,487,486,486
77,151,622,639,17,488,471,471
55,103,639,651,12,548,536,536
25,40,651,662,11,622,611,611
34,67,662,665,3,598,595,595
30,58,665,666,1,608,607,607
78,155,666,678,12,523,511,511
96,188,678,686,8,498,490,490
22,40,686,696,10,656,646,646
59,111,696,699,3,588,585,585
60,111,699,703,4,592,588,588
73,143,703,705,2,562,560,560
3,3,705,711,6,708,702,702
31,58,711,726,15,668,653,653
2,2,726,731,5,729,724,724
84,170,731,734,3,564,561,561
76,148,734,747,13,599,586,586
32,60,747,763,16,703,687,687
16,25,763,767,4,742,738,738
17,31,767,775,8,744,736,736
71,139,775,780,5,641,636,636
97,191,780,792,12,601,589,589
57,109,792,808,16,699,683,683
63,125,808,810,2,685,683,683
8,10,810,816,6,806,800,800
23,40,816,831,15,791,776,776
80,163,831,845,14,682,668,668
86,170,845,864,19,694,675,675
64,128,864,872,8,744,736,736
42,84,872,889,17,805,788,788
14,25,889,907,18,882,864,864
91,179,907,915,8,736,728,728
95,188,915,921,6,733,727,727
75,146,921,930,9,784,775,775
89,176,930,946,16,770,754,754
65,129,946,966,20,837,817,817
18,32,966,974,8,942,934,934
48,95,974,991,17,896,879,879
29,54,991,992,1,938,937,937
45,92,992,1005,13,913,900,900
56,106,1005,1012,7,906,899,899
24,40,1012,1031,19,991,972,972
15,25,1031,1032,1,1007,1006,1006
5,3,1032,1042,10,1039,1029,1029
79,159,1042,1049,7,890,883,883
6,3,1049,1057,8,1054,1046,1046
43,86,1057,1061,4,975,971,971
11,19,1061,1070,9,1051,1042,1042
99,191,1070,1074,4,883,879,879
12,21,1074,1093,19,1072,1053,1053
62,111,1093,1105,12,994,982,982
1,2,1105,1115,10,1113,1103,1103
35,68,1115,1120,5,1052,1047,1047
67,132,1120,1133,13,1001,988,988
88,173,1133,1145,12,972,960,960
19,32,1145,1165,20,1133,1113,1113
98,191,1165,1184,19,993,974,974
82,167,1184,1200,16,1033,1017,1017
54,101,1200,1207,7,1106,1099,1099
87,170,1207,1225,18,1055,1037,1037
51,98,1225,1239,14,1141,1127,1127
