pid,arrival,start,completion,burst,turnaround,waiting,response
0,0,191,200,9,200,191,191
1,2,200,210,10,208,198,198
2,2,210,215,5,213,208,208
3,3,215,221,6,218,212,212
4,3,221,230,9,227,218,218
5,3,230,240,10,237,227,227
6,3,240,248,8,245,237,237
8,10,258,264,6,254,248,248
10,17,274,280,6,263,257,257
11,19,280,289,9,270,261,261
15,25,319,320,1,295,294,294
16,25,320,324,4,299,295,295
17,31,324,332,8,301,293,293
18,32,332,340,8,308,300,300
20,34,350,354,4,320,316,316
21,37,354,364,10,327,317,317
22,40,364,374,10,334,324,324
26,49,404,405,1,356,355,355
27,50,405,408,3,358,355,355
28,52,408,409,1,357,356,356
29,54,409,410,1,356,355,355
30,58,410,411,1,353,352,352
34,67,441,444,3,377,374,374
35,68,444,449,5,381,376,376
36,68,449,456,7,388,381,381
40,80,486,489,3,409,406,406
43,86,509,513,4,427,423,423
44,88,513,518,5,430,425,425
49,95,558,559,1,464,463,463
54,101,599,606,7,505,498,498
56,106,616,623,7,517,510,510
59,111,643,646,3,535,532,532
60,111,646,650,4,539,535,535
63,125,670,672,2,547,545,545
64,128,672,680,8,552,544,544
66,132,690,693,3,561,558,558
70,135,723,724,1,589,588,588
71,139,724,729,5,590,585,585
72,141,729,739,10,598,588,588
73,143,739,741,2,598,596,596
75,146,751,760,9,614,605,605
79,159,790,797,7,638,631,631
84,170,837,840,3,670,667,667
90,178,890,898,8,720,712,712
91,179,898,906,8,727,719,719
92,188,906,912,6,724,718,718
93,188,912,921,9,733,724,724
94,188,921,924,3,736,733,733
95,188,924,930,6,742,736,736
96,188,930,938,8,750,742,742
99,191,958,962,4,771,767,767
7,10,248,972,20,962,942,238
9,13,264,973,11,960,949,251
12,21,289,982,19,961,942,268
13,25,299,991,19,966,947,274
14,25,309,999,18,974,956,284
19,32,340,1009,20,977,957,308
23,40,374,1014,15,974,959,334
24,40,384,1023,19,983,964,344
25,40,394,1024,11,984,973,354
31,58,411,1029,15,971,956,353
32,60,421,1035,16,975,959,361
33,64,431,1042,17,978,961,367
37,70,456,1045,13,975,962,386
38,74,466,1051,16,977,961,392
39,76,476,1059,18,983,965,400
41,83,489,1069,20,986,966,406
42,84,499,1076,17,992,975,415
45,92,518,1079,13,987,974,426
46,93,528,1086,17,993,976,435
47,95,538,1094,18,999,981,443
48,95,548,1101,17,1006,989,453
50,96,559,1104,13,1008,995,463
51,98,569,1108,14,1010,996,471
52,100,579,1114,16,1014,998,479
53,100,589,1116,12,1016,1004,489
55,103,606,1118,12,1015,1003,503
57,109,623,1124,16,1015,999,514
58,111,633,1127,13,1016,1003,522
61,111,650,1130,13,1019,1006,539
62,111,660,1132,12,1021,1009,549
65,129,680,1142,20,1013,993,551
67,132,693,1145,13,1013,1000,561
68,134,703,1150,15,1016,1001,569
69,134,713,1155,15,1021,1006,579
74,145,741,1160,15,1015,1000,596
76,148,760,1163,13,1015,1002,612
77,151,770,1170,17,1019,1002,619
78,155,780,1172,12,1017,1005,625
80,163,797,1176,14,1013,999,634
81,163,807,1181,15,1018,1003,644
82,167,817,1187,16,1020,1004,650
83,167,827,1193,16,1026,1010,660
85,170,840,1203,20,1033,1013,670
86,170,850,1212,19,1042,1023,680
87,170,860,1220,18,1050,1032,690
88,173,870,1222,12,1049,1037,697
89,176,880,1228,16,1052,1036,704
97,191,938,1230,12,1039,1027,747
98,191,948,1239,19,1048,1029,757
