pid,arrival,start,completion,burst,turnaround,waiting,response
15,25,191,192,1,167,166,166
70,135,192,193,1,58,57,57
26,49,193,194,1,145,144,144
49,95,194,195,1,100,99,99
28,52,195,196,1,144,143,143
29,54,196,197,1,143,142,142
30,58,197,198,1,140,139,139
63,125,198,200,2,75,73,73
73,143,200,202,2,59,57,57
34,67,202,205,3,138,135,135
66,132,205,208,3,76,73,73
40,80,208,211,3,131,128,128
84,170,211,214,3,44,41,41
94,188,214,217,3,29,26,26
27,50,217,220,3,170,167,167
59,111,220,223,3,112,109,109
16,25,223,227,4,202,198,198
20,34,227,231,4,197,193,193
43,86,231,235,4,149,145,145
99,191,235,239,4,48,44,44
60,111,239,243,4,132,128,128
2,2,243,248,5,246,241,241
35,68,248,253,5,185,180,180
71,139,253,258,5,119,114,114
44,88,258,263,5,175,170,170
3,3,263,269,6,266,260,260
8,10,269,275,6,265,259,259
10,17,275,281,6,264,258,258
92,188,281,287,6,99,93,93
95,188,287,293,6,105,99,99
36,68,293,300,7,232,225,225
79,159,300,307,7,148,141,141
54,101,307,314,7,213,206,206
56,106,314,321,7,215,208,208
64,128,321,329,8,201,193,193
17,31,329,337,8,306,298,298
18,32,337,345,8,313,305,305
90,178,345,353,8,175,167,167
91,179,353,361,8,182,174,174
6,3,361,369,8,366,358,358
96,188,369,377,8,189,181,181
75,146,377,386,9,240,231,231
4,3,386,395,9,392,383,383
11,19,395,404,9,385,376,376
0,0,404,413,9,413,404,404
93,188,413,422,9,234,225,225
22,40,422,432,10,392,382,382
1,2,432,442,10,440,430,430
72,141,442,452,10,311,301,301
21,37,452,462,10,425,415,415
5,3,462,472,10,469,459,459
9,13,472,483,11,470,459,459
25,40,483,494,11,454,443,443
78,155,494,506,12,351,339,339
88,173,506,518,12,345,333,333
97,191,518,530,12,339,327,327
53,100,530,542,12,442,430,430
55,103,542,554,12,451,439,439
62,111,554,566,12,455,443,443
37,70,566,579,13,509,496,496
45,92,579,592,13,500,487,487
76,148,592,605,13,457,444,444
67,132,605,618,13,486,473,473
50,96,618,631,13,535,522,522
61,111,631,644,13,533,520,520
58,111,644,657,13,546,533,533
80,163,657,671,14,508,494,494
51,98,671,685,14,587,573,573
68,134,685,700,15,566,551,551
69,134,700,715,15,581,566,566
74,145,715,730,15,585,570,570
81,163,730,745,15,582,567,567
31,58,745,760,15,702,687,687
23,40,760,775,15,735,720,720
32,60,775,791,16,731,715,715
52,100,791,807,16,707,691,691
83,167,807,823,16,656,640,640
89,176,823,839,16,663,647,647
82,167,839,855,16,688,672,672
38,74,855,871,16,797,781,781
57,109,871,887,16,778,762,762
46,93,887,904,17,811,794,794
48,95,904,921,17,826,809,809
77,151,921,938,17,787,770,770
42,84,938,955,17,871,854,854
33,64,955,972,17,908,891,891
14,25,972,990,18,965,947,947
39,76,990,1008,18,932,914,914
87,170,1008,1026,18,856,838,838
47,95,1026,1044,18,949,931,931
86,170,1044,1063,19,893,874,874
98,191,1063,1082,19,891,872,872
24,40,1082,1101,19,1061,1042,1042
13,25,1101,1120,19,1095,1076,1076
12,21,1120,1139,19,1118,1099,1099
41,83,1139,1159,20,1076,1056,1056
7,10,1159,1179,20,1169,1149,1149
85,170,1179,1199,20,1029,1009,1009
19,32,1199,1219,20,1187,1167,1167
65,129,1219,1239,20,1110,1090,1090
